Support Service Categories,Stage of Orgs Supported,Industries Supported,Demographics Supported,Languages Supported,Name of Organization,Description of Organization,Testimonial,Location of Organization,Phone Number,Email One,Email Two,Email Three,Website of Organization,Facebook URL,Twitter URL,Instagram URL,Linkedin URL,YouTube URL,Meetup URL,Preferred Contact,Preferred Email,Business Hours,Messaging On/Off,Referral Code On/Off,Referral Code,Referral Code Description,Referral Code Expiration
"Legal Services ,Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Courage Connection,"We believe that every person has the right to live in safe, healthy relationships. Courage Connection provides support to individuals and families who have experienced domestic violence. At Courage Connection, we’re are committed to ensuring every member of our community has the education, resources, and support to live in safe and healthy relationships. Courage Connection introduced its new name in 2014, following the successful merger 2010 of The Center for Women in Transition and A Woman's Place.",,"508 East Church Street, Champaign, IL, USA",(217) 352-7151,jrosenbaum@courageconnection.org,ocravens@courageconnection.org,jrosenbaum@courageconnection.org,http://www.courageconnection.org/,https://www.facebook.com/couragecu,https://twitter.com/couragecu?lang=en,https://www.instagram.com/cucourageconnection/,,,,,,,off,off,,,
"Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,"Consumer Products & Services ,Freelance Services","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Kuticle Klub,Licensed Nail Technician,,"Champaign, IL, USA",(217) 419-5002,,,,https://KuticleKlub.as.me/,https://www.facebook.com/KuticleKlub,,https://www.instagram.com/kuticleklub/,,,,,,,off,off,,,
"Education & Training ,Black-Owned Businesses ,Business/Entrepreneur Resources ,Business Directory",Revenue from Customers,Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,The TREP School,"We teach on the entrepreneurial mindset because it's the key to success for all people, whether you're starting a business, desiring to be an intrapreneur on your job, as a student, or in life in general.",,"Danville, IL, USA",800-951-8075,info@thetrepschool.com,,,http://www.thetrepschool.com/,https://www.facebook.com/TheTrepSchool,https://twitter.com/TheTrepSchool,https://www.instagram.com/the_trep_school/,https://www.linkedin.com/in/tricia-teague-2377266/,,,,,,off,off,,,
"Service Providers ,Small Businesses ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Just Bring It,"JUST BRING IT is a multifaceted company offering Boxtruck furniture delivery and moving services, furniture assembly, and hauling.",,"Champaign, IL, USA",(217) 305-5079,joe.harris@justbringitmovers.com,,,http://www.justbringitmovers.com/,https://www.facebook.com/JUSTBRINGIT217,,,,,,,,,off,off,,,
"Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Restoration Urban Ministries,"Giving hope to the hopeless in Champaign County, Illinois for nearly 25 years. Since 1993, Restoration’s programs – a hotel-turned-residence, a food and clothing pantry, ­­counseling and classes, and ministry – have been turning countless lives around, putting single parents, families, and couples back on track and embracing Jesus. Restoration welcomes individuals of all backgrounds and stations in life. Once in the program, Restoration provides temporary support to residents while providing them with educational, spiritual, and emotional opportunities for growth. Our work is helping to lead people to independent and self-sufficient lives through the love of Jesus Christ.",,"1213 Parkland Court, Champaign, IL, USA",(217) 355-2662,restorationurbanministry@gmail.com,restorationurbanministry@gmail.com,,https://www.restorationurbanministries.org/,https://www.facebook.com/RestorationUrbanMinistries,,,,,,,,,off,off,,,
"Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Champaign Urbana Schools Foundation,A non-profit corporation designed to enhance the quality of public education in Champaign-Urbana,,"32 East Springfield Avenue, Champaign, IL, USA",(217) 398-2873,info@cuschoolsfoundation.org,khill@cuschoolsfoundation.org,,http://www.CUSchoolsFoundation.org/,https://www.facebook.com/4CUSF,,https://www.instagram.com/cuschoolsfoundation/,,,,,,,off,off,,,
"Education & Training ,Service Providers ,Business/Entrepreneur Resources",Revenue from Customers,Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,Dreams 2 Career,"<p>Dreams2Career is the first career-readiness digital media company that helps businesses and schools to promote learning experiences to students, educators, and career-seekers so they are able to find and prepare for dream careers.<br></p>",,,(570) 779-9359,d2chelp@gmail.com,,,http://dream2career.org/,https://www.facebook.com/D2CDream2Career,,,,,,,,,off,off,,,
"Business Setup ,Education & Training ,Small Businesses ,Black-Owned Businesses","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,MORTAR,"<div class=""kvgmc6g5 cxmmr5t8 oygrvhab hcukyx3x c1et5uql"" style=""overflow-wrap: break-word; margin: 0px; font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;""><div dir=""auto"" style=""font-family: inherit;""><span style=""background-color: rgb(255, 255, 255);"">When neighborhoods are growing, a lot of planning goes into renovating historic buildings and creating magnificent green spaces that look awesome in the background of social media selfies – while little attention is paid to the existing residents of these now flourishing areas. In the same way that these locations have the potential to become booming communities, the neighborhood’s residents have the potential to create booming enterprises – just footsteps from their homes.</span></div></div><div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql"" style=""overflow-wrap: break-word; margin: 0.5em 0px 0px; font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;""><div dir=""auto"" style=""font-family: inherit;""><span style=""background-color: rgb(255, 255, 255);"">With Cincinnati’s Over-the-Rhine neighborhood rapidly transitioning into one of the most promising neighborhoods in America, MORTAR fulfills its purpose by building on this success by focusing on those who are often ignored. By targeting underserved communities, we’re offering these non-traditional entrepreneurs the opportunity to use their inherent talents to not just make a dollar but to positively participate in the rise of Over-the-Rhine and surrounding areas.</span></div></div><div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql"" style=""overflow-wrap: break-word; margin: 0.5em 0px 0px; font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;""><div dir=""auto"" style=""font-family: inherit;""><span style=""background-color: rgb(255, 255, 255);"">We believe that entrepreneurship can change lives. When people have ownership in an area, they also have pride. This pride then manifests itself in the way that the residents become involved in their neighborhoods, and the building of local economies.</span></div></div>",,,(513) 888-4769,wearemortar@gmail.com,,,https://wearemortar.com/,https://www.facebook.com/weareMORTAR/,https://twitter.com/weareMORTAR,https://www.instagram.com/wearemortar/,,,,,,,off,off,,,
"Business Setup ,Education & Training ,Mentorship ,Small Businesses ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,The Porter House KC,"<p><span style=""font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px; background-color: rgb(255, 255, 255);"">The Porter House KC is an inner city-based co-working community who provides entrepreneurship access and resources to underserved populations in the KC metro.</span><br></p>",,,(816) 265-1522,theporterhousekc@gmail.com,,,https://www.theporterhousekc.com/,https://www.facebook.com/ThePorterHouseKC,https://twitter.com/Porterhousekc,https://www.instagram.com/theporterhousekc/,,,,,,,off,off,,,
"Community Support ,Education & Training ,Mentorship ,Service Providers ,Black-Owned Businesses",Revenue from Customers,Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,"The Carter Community, The Carter Education & Community Foundation","<p><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;"">We're the community, the village providing guidance and support for future leaders. We want to use our shared resources as a community to help youth develop the right mindset and see past the obstacles that sometimes fall on our path.</span><span style=""font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;"">&nbsp;</span></span><br></p>",,,,thecartercommunity@gmail.com,thecartercommunity@gmail.com,thecartercommunity@gmail.com,https://thecartercommunity.org/,https://www.facebook.com/thecartercommunity,,,,,,,,,off,off,,,
"Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Freelance Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,YoRentZ,"<p style=""margin-bottom: 0.6em; color: rgb(111, 111, 111); font-family: Hind; font-size: 16px; background-color: rgb(247, 247, 247);"">Did you know that your good rental history is not automatically reported to the credit bureaus? The three major credit bureaus (Experian, Equifax, TransUnion) are now allowing contracting companies to collect rental data on their behalf in order to boost credit scores! Did you know that your credit scores need monthly activity in order to grow exponentially? No activity, your score remains dormant for years?&nbsp; Therefore, a renter with a 500 credit score, who pays rent on time, has little chance of ever buying a home that requires a 620 credit score. How does this work, you ask? It is really quite simple. You provide us with a copy of your identification,&nbsp; a copy of your lease, and pay a small yearly fee or a monthly fee. One-year memberships are 100% satisfaction guaranteed or your money back. This service is for anyone paying rent or portion of rent; a roommate, border, homeless individuals in government-sponsored housing programs, etc.</p>",,,404-916-6127,salleeproducts14@gmail.com,,,https://www.yorentz.com/,,,,,,,,,,off,off,,,
"Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Retail,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,Connoisseurs Of the Finer Things,"<p><span style=""font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px;"">Clothing apparel &amp; accessories are influenced by the finer things, that's where COFT begins.</span><br></p>",,"Champaign, IL, USA",(312) 402-2284,jroccdubblenikkle@gmail.com,jroccdubblenikkle@gmail.com,jroccdubblenikkle@gmail.com,https://www.cofthings.com/,https://www.facebook.com/COFT-110348923998914,https://twitter.com/DubbleNikkle,https://www.instagram.com/connoisseursofthefinerthings/,,,,,,,off,off,,,
"Education & Training ,Diversity, Equity, & Inclusion ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,Lead for Equity and Engagement,"<p><span style=""font-family: Roboto, -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">Lead for Equity and Engagement provides engaging and transformative professional development for educators, leaders, organizations, and individuals.&nbsp; We build leadership capacity through individual and group executive coaching and workshops on topics ranging from communication and team building to implicit bias and structural racism.&nbsp; Whether we are working with schools, non-profits, or business teams, our focus is on improving outcomes and results by exploring issues with an equity lens to promote engagement and excellence for everyone.&nbsp;&nbsp;</span><br></p>",,"200 West Delaware Avenue, Urbana, IL, USA",217 202-5632,don@lead4equity.com,don@lead4equity.com,don@lead4equity.com,https://lead4equity.com/,https://www.facebook.com/lead4equity,,,,,,,,,off,off,,,
"Arts & Entertainment ,Management & Operations ,Black-Owned Businesses",Revenue from Customers,"Arts, Entertainment, & Creative Economy ,Management & Consulting","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural ,French",,Aquarius Management Agency,"<p><span style=""font-family: &quot;Segoe UI Historic&quot;, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif; font-size: 15px; background-color: rgb(255, 255, 255);"">AMA is a Modeling, Talent &amp; Entertainment Agency based out of Kansas City with connections in New York, California, Texas, Atlanta, Iowa, Overseas &amp; more. We help Talent &amp; Entertainment Companies take their Career or Business to the next level.</span><br></p>",,,8167784450,aquariusmanagementagency@gmail.com,aquariusmanagementagency@gmail.com,aquariusmakesmoney@gmail.com,,https://www.facebook.com/AquariusManagementAgency,,https://www.instagram.com/aquariusmanagementagency/,,,,,,,off,off,,,
